Soil_Moisture,Temperature,Humidity,Light_Intensity,Days_Since_Watering,Water_Needed
61,34,72,471,5,1
30,26,48,614,3,1
33,22,51,708,2,1
39,25,31,591,4,1
30,20,41,713,5,1
58,29,57,589,3,0
64,39,32,884,3,1
16,40,38,566,2,1
13,33,79,745,5,1
11,39,57,766,4,1
80,31,37,434,1,0
45,37,69,787,2,0
15,29,33,876,2,1
53,21,39,669,4,1
71,27,50,737,5,1
33,32,70,556,5,1
74,26,38,743,1,0
17,30,80,992,3,1
44,20,34,889,2,0
50,26,38,432,5,1
53,27,51,946,1,0
56,33,32,404,2,1
23,26,56,792,2,1
51,32,80,974,1,0
61,23,59,884,5,1
24,30,58,435,5,1
41,26,80,485,4,1
75,29,74,973,1,0
15,31,73,739,3,1
71,20,30,776,3,0
71,39,42,658,3,1
18,24,62,633,4,1
33,34,61,871,1,1
61,36,78,841,4,1
21,26,31,786,1,1
65,36,78,401,2,0
63,24,61,624,1,0
28,21,73,815,4,1
64,30,46,693,5,1
79,30,77,543,1,0
68,25,45,748,3,0
29,23,48,745,3,1
28,39,61,888,1,1
49,26,47,872,2,0
32,29,64,662,4,1
25,35,78,401,1,1
57,31,34,436,3,0
18,28,64,607,3,1
29,20,53,986,1,1
45,25,69,653,3,0
34,37,75,737,2,1
63,22,45,560,4,1
42,33,50,903,3,0
26,20,77,859,3,1
31,33,59,437,5,1
60,27,56,426,2,0
30,20,57,880,5,1
70,35,48,915,3,1
73,36,46,571,4,1
39,33,35,498,4,1
46,36,75,580,3,0
69,20,50,560,3,0
27,29,60,965,2,1
76,27,75,687,2,0
36,29,31,503,1,0
18,30,77,438,5,1
51,22,79,807,5,1
69,26,65,419,1,0
17,33,45,870,4,1
75,38,54,974,5,1
31,36,71,453,3,1
69,24,62,663,5,1
69,31,73,404,4,1
15,32,61,749,3,1
64,27,45,668,2,0
39,38,46,519,3,1
67,24,55,516,1,0
21,40,30,457,2,1
10,34,63,495,1,1
10,35,68,846,5,1
31,22,41,553,3,1
66,33,57,468,1,0
71,39,34,603,2,1
57,40,68,688,5,1
32,29,34,499,2,1
61,29,48,841,1,0
78,32,33,415,2,0
41,39,53,779,1,0
42,38,72,667,3,0
74,20,69,442,4,1
38,32,41,701,2,0
44,36,55,817,3,0
16,23,79,892,3,1
38,23,54,676,5,1
45,29,66,856,3,0
58,22,77,947,2,0
33,24,41,768,5,1
32,22,70,672,1,1
71,39,77,741,5,1
68,38,78,795,5,1
28,31,38,854,4,1
61,38,76,543,5,1
78,22,41,424,4,1
62,35,68,508,5,1
51,26,43,622,2,0
14,22,52,634,3,1
27,34,41,408,2,1
67,31,46,652,5,1
49,29,38,593,5,1
38,24,67,738,5,1
74,39,46,910,1,1
54,23,65,469,4,1
40,38,73,581,3,0
28,26,32,572,5,1
67,39,57,855,5,1
48,20,32,747,1,0
72,36,54,516,2,0
53,32,61,572,5,1
56,40,45,612,3,1
45,22,48,931,1,0
27,34,70,704,1,1
63,22,45,870,1,0
21,29,61,757,4,1
33,40,37,521,4,1
45,27,79,939,4,1
50,23,56,901,1,0
42,40,49,860,4,1
38,32,75,946,5,1
15,37,80,655,5,1
56,21,39,641,3,0
14,20,30,545,1,1
20,40,55,462,1,1
68,36,42,504,3,1
10,40,77,917,4,1
78,24,67,836,5,1
62,24,39,857,3,0
26,40,43,856,1,1
60,32,42,845,1,0
41,21,57,494,2,0
